post_number,message_id,timestamp,board,topic_title,topic_id,replied_to,content,content_length,post_url,author
1,56494456,"March 05, 2021, 09:34:25 AM",Announcements (Altcoins),Re: IOTA,1216479,,Everyone owning iotas should consider possibility of transfering them to an exchange.,85,https://bitcointalk.org/index.php?topic=1216479.msg56494456#msg56494456,Come-from-Beyond
2,51732965,"July 06, 2019, 09:24:08 PM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: MinerHQ on July 06, 2019, 01:35:53 PM","Try changing the used node to
Code:
https://nodes.thetangle.org:443
. Once you login you will likely need to generate several addresses to see the balance.",155,https://bitcointalk.org/index.php?topic=1216479.msg51732965#msg51732965,Come-from-Beyond
3,51612172,"June 26, 2019, 04:23:26 PM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: QadeBackFromMars on June 26, 2019, 11:40:48 AM","Like
https://thetangle.org/transaction/VDN9ABWYVOB9ESDDKIJTWSIFIPNDNWUCKVGZKW9WYI9HVCUVLXNOBCKDISWUOUETFKBSEUSNTZQ999999?
The protocol allows to send 100 forward and 95 back to transfer 5.",188,https://bitcointalk.org/index.php?topic=1216479.msg51612172#msg51612172,Come-from-Beyond
4,51393590,"June 08, 2019, 11:23:55 AM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: GregTuck on June 07, 2019, 09:50:08 PM",I was asked for my viewpoint and I answered the question. No idea why you think that I should have wasted time on doing a rigorous analysis of her words and then on giving detailed answers to her concerns in the academic manner. I used a simple trick: I asked myself who she is and the answer made me write what you saw in my previous post. If you think her opinion is important then you are welcome to explain why.,415,https://bitcointalk.org/index.php?topic=1216479.msg51393590#msg51393590,Come-from-Beyond
5,51380318,"June 07, 2019, 09:46:43 AM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: Raja_MBZ on June 06, 2019, 11:49:57 PM",That thread seems to be a flow of personal opinion from a person who hates IOTA. I can't take her opinion seriously because her best achievement is an attempt to make sex toys not leak personal information. The others valued her work that much that in the recent past she had to ask for donations to keep her website running. This is my viewpoint.,347,https://bitcointalk.org/index.php?topic=1216479.msg51380318#msg51380318,Come-from-Beyond
6,50107825,"March 10, 2019, 09:45:10 PM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: lobat999 on March 10, 2019, 08:14:55 PM",Seems so. I changed the OP.,27,https://bitcointalk.org/index.php?topic=1216479.msg50107825#msg50107825,Come-from-Beyond
7,50098986,"March 10, 2019, 10:06:09 AM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: lobat999 on March 10, 2019, 09:44:13 AM",No. I have changed the OP.,26,https://bitcointalk.org/index.php?topic=1216479.msg50098986#msg50098986,Come-from-Beyond
8,47344844,"October 28, 2018, 06:30:45 AM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: Ryuuma on October 27, 2018, 07:50:17 PM",https://github.com/Come-from-Beyond/Ict,39,https://bitcointalk.org/index.php?topic=1216479.msg47344844#msg47344844,Come-from-Beyond
9,46204315,"September 26, 2018, 08:16:18 PM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: Wekkel on September 26, 2018, 06:55:11 PM",Because he has sold iotas expecting to buy cheaper but the price has rised and he thinks that posting here will affect the price. That's Bitcointalk 101.,153,https://bitcointalk.org/index.php?topic=1216479.msg46204315#msg46204315,Come-from-Beyond
10,44133381,"August 15, 2018, 03:48:48 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,,"Ну что, братцы, пришло время расставаться, ""Code of Conduct"" IOTA Foundation не позволяет троллить Крипта. Я буду по вам всем скучать...",136,https://bitcointalk.org/index.php?topic=1298661.msg44133381#msg44133381,Come-from-Beyond
11,43863706,"August 11, 2018, 06:05:52 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on August 10, 2018, 10:04:50 PM","У той статьи в заголовке - ""Член совета директоров проекта подал в отставку"". Измельчал журналист-славянин, ой измельчал. То ли дело было раньше:",145,https://bitcointalk.org/index.php?topic=1298661.msg43863706#msg43863706,Come-from-Beyond
12,43420323,"August 03, 2018, 08:31:10 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: pifagor2 on August 03, 2018, 02:33:28 PM","Ничего. О бывших партнерах или хорошее, или ничего.",51,https://bitcointalk.org/index.php?topic=1298661.msg43420323#msg43420323,Come-from-Beyond
13,43197037,"July 31, 2018, 07:25:43 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on July 31, 2018, 06:08:07 AM","А вот другие люди утверждают обратное. И те люди понимают разницу между ""централизованный"" и ""использующийся для финализации""...",128,https://bitcointalk.org/index.php?topic=1298661.msg43197037#msg43197037,Come-from-Beyond
14,43160500,"July 30, 2018, 03:38:53 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on July 30, 2018, 07:27:09 AM","Это просто кто-то специально генерирует, Ёта децентрализованная и не запрещает рисовать картинки Танглом.",105,https://bitcointalk.org/index.php?topic=1298661.msg43160500#msg43160500,Come-from-Beyond
15,43092469,"July 29, 2018, 02:50:43 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on July 29, 2018, 02:32:39 PM",Интересный у тебя критерий учёности.,36,https://bitcointalk.org/index.php?topic=1298661.msg43092469#msg43092469,Come-from-Beyond
16,43087574,"July 29, 2018, 01:38:22 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on July 29, 2018, 01:14:30 PM","А что насчет термина ""ученый""? Что ты этим имел в виду?",55,https://bitcointalk.org/index.php?topic=1298661.msg43087574#msg43087574,Come-from-Beyond
17,43083584,"July 29, 2018, 12:35:58 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: siberianman on July 29, 2018, 10:31:26 AM","А может Крипт имел в виду, что ученый не как работник Академии Наук? Может это было просто поэтическое сравнение?",113,https://bitcointalk.org/index.php?topic=1298661.msg43083584#msg43083584,Come-from-Beyond
18,43074233,"July 29, 2018, 09:46:11 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on July 29, 2018, 07:24:32 AM",LOL,3,https://bitcointalk.org/index.php?topic=1298661.msg43074233#msg43074233,Come-from-Beyond
19,42993065,"July 27, 2018, 09:03:59 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: pifagor2 on July 27, 2018, 07:59:46 AM",Он привык к прямым палкам блокчейнов.,37,https://bitcointalk.org/index.php?topic=1298661.msg42993065#msg42993065,Come-from-Beyond
20,42950870,"July 27, 2018, 06:04:27 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on July 26, 2018, 02:40:29 PM","Это первая фаза апдейта, скоро выпустят вторую и тогда путаница будет выглядеть как толстая красивая колбаска. Думаю, ты будешь доволен.",136,https://bitcointalk.org/index.php?topic=1298661.msg42950870#msg42950870,Come-from-Beyond
21,42756522,"July 23, 2018, 09:39:44 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on July 23, 2018, 02:30:05 PM","Ты не пости когда пьяный, не зря люди говорят ""что у трезвого на уме, то у пьяного на языке""",92,https://bitcointalk.org/index.php?topic=1298661.msg42756522#msg42756522,Come-from-Beyond
22,42681243,"July 22, 2018, 05:28:31 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,,[IMAGE ONLY],0,https://bitcointalk.org/index.php?topic=1298661.msg42681243#msg42681243,Come-from-Beyond
23,41927737,"July 10, 2018, 08:29:48 PM",Announcements (Altcoins),Re: IOTA,1216479,,"WilderX, I have to ban you from this thread for the post which will be deleted in few minutes. And better move to another forum with racist posts.",146,https://bitcointalk.org/index.php?topic=1216479.msg41927737#msg41927737,Come-from-Beyond
24,41716092,"July 07, 2018, 07:13:25 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: AlexeyB on July 07, 2018, 07:00:53 PM","2 минуты сейчас, 3 дня назад было несколько часов и 10 реаттачей.",65,https://bitcointalk.org/index.php?topic=1298661.msg41716092#msg41716092,Come-from-Beyond
25,40839009,"June 24, 2018, 09:34:30 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,,"И что твоя картинка показывает?
http://analytics.iotaledger.net/stresstest.table
показывает 120%.",97,https://bitcointalk.org/index.php?topic=1298661.msg40839009#msg40839009,Come-from-Beyond
26,40695502,"June 22, 2018, 10:50:00 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on June 22, 2018, 08:24:48 PM","Добрый вечер, наши дорогие радиослушатели. Вечер пятницы и с вам опять ваша любимая программа ""Был бы повод!"" И у нас уже есть первая заявка. Мальчик Серёжа из Минска вместе с друзьями Дэвидом и Домиником сейчас отмечают Купалье и очень жалеют, что с ними нет их давнего приятеля - Крипта из славного города Киева. Они просят передать ему миллион воздушных поцелуев и поставить песню
Erasure - Love To Hate You
. Что ж, уже через несколько секунд в эфире зазвучит это песня, а от себя я хочу добавить, что очень классно, когда у тебя есть приятели, которые не забывают про тебя в самые лучшие моменты, такие как сегодняшняя ночь.",629,https://bitcointalk.org/index.php?topic=1298661.msg40695502#msg40695502,Come-from-Beyond
27,40475071,"June 19, 2018, 07:44:50 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,,"Чего гадать, надо просто спросить кого-нибудь кто там живет. Пусть сходит - посмотрит.",86,https://bitcointalk.org/index.php?topic=1298661.msg40475071#msg40475071,Come-from-Beyond
28,40244912,"June 16, 2018, 04:06:59 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on June 16, 2018, 01:33:03 PM","Вероятно потому, что существует Координатор или нет - на Кубике это никак не сказывается.",89,https://bitcointalk.org/index.php?topic=1298661.msg40244912#msg40244912,Come-from-Beyond
29,40201486,"June 15, 2018, 09:55:18 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: pifagor2 on June 15, 2018, 12:48:00 PM",Крипт просто бяка. И бука.,26,https://bitcointalk.org/index.php?topic=1298661.msg40201486#msg40201486,Come-from-Beyond
30,40133376,"June 14, 2018, 09:24:30 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on June 14, 2018, 03:08:49 PM",Видать карма у тебя плохая.,27,https://bitcointalk.org/index.php?topic=1298661.msg40133376#msg40133376,Come-from-Beyond
31,39914487,"June 11, 2018, 10:32:49 PM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: BrBoy on June 11, 2018, 08:16:56 PM",Are you talking about CEOs of different corporations?,53,https://bitcointalk.org/index.php?topic=1216479.msg39914487#msg39914487,Come-from-Beyond
32,39902200,"June 11, 2018, 06:33:08 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: senya-com on June 11, 2018, 01:58:13 PM","ЛОЛ. Надо рассказать ему про Uber, Airbnb и прочие компании, которые ничего не продают и ничем не владеют.",106,https://bitcointalk.org/index.php?topic=1298661.msg39902200#msg39902200,Come-from-Beyond
33,39625128,"June 08, 2018, 06:47:47 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: sashu on June 08, 2018, 03:23:54 AM",Подавляющее большинство людей заклаймило ёты без проблема. Что как бы намекает.,79,https://bitcointalk.org/index.php?topic=1298661.msg39625128#msg39625128,Come-from-Beyond
34,39612273,"June 07, 2018, 11:32:10 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: sashu on June 07, 2018, 08:33:02 PM","Голова болит, потому что мозг растет.",37,https://bitcointalk.org/index.php?topic=1298661.msg39612273#msg39612273,Come-from-Beyond
35,39500907,"June 06, 2018, 12:16:04 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: sashu on June 06, 2018, 08:19:59 AM",Делай RECLAIM.,14,https://bitcointalk.org/index.php?topic=1298661.msg39500907#msg39500907,Come-from-Beyond
36,39481023,"June 06, 2018, 06:20:24 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Shurko-1987 on June 06, 2018, 04:19:07 AM","Они уберегли тебя от трехкратной прибыли? Ты из этих, что-ли, как их... дауншифтеров?",85,https://bitcointalk.org/index.php?topic=1298661.msg39481023#msg39481023,Come-from-Beyond
37,39442651,"June 05, 2018, 03:41:15 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Shurko-1987 on June 05, 2018, 04:03:39 AM","Плохое время выбрал, а не монету. Многие зашли на 10 центах за пачку и не могут нарадоваться.",93,https://bitcointalk.org/index.php?topic=1298661.msg39442651#msg39442651,Come-from-Beyond
38,39393344,"June 04, 2018, 10:20:45 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: kribur on June 04, 2018, 08:05:29 PM","Memento mori*
-----------------------------------
* - Моментально в море",72,https://bitcointalk.org/index.php?topic=1298661.msg39393344#msg39393344,Come-from-Beyond
39,39317814,"June 03, 2018, 09:32:39 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on June 03, 2018, 08:37:27 PM","Мсье, видимо, новичок в криптотрейдинге?",40,https://bitcointalk.org/index.php?topic=1298661.msg39317814#msg39317814,Come-from-Beyond
40,39301618,"June 03, 2018, 05:37:43 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on June 03, 2018, 05:04:53 PM","Это не дамп, это флуктуация, просто поменяй масштаб по вертикали.",65,https://bitcointalk.org/index.php?topic=1298661.msg39301618#msg39301618,Come-from-Beyond
41,39291029,"June 03, 2018, 03:25:37 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Shurko-1987 on June 03, 2018, 11:14:12 AM",Я просто пампю её. У меня еще где-то 800'000 BTC в загашнике осталось на эти нужды.,83,https://bitcointalk.org/index.php?topic=1298661.msg39291029#msg39291029,Come-from-Beyond
42,39261557,"June 03, 2018, 08:03:59 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: siberianman on June 03, 2018, 04:07:17 AM","Вероятно тут постят люди из нескольких альтернативных вселенных. Типа как в ""Черновике"".",88,https://bitcointalk.org/index.php?topic=1298661.msg39261557#msg39261557,Come-from-Beyond
43,39237059,"June 02, 2018, 08:19:57 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: kribur on June 02, 2018, 08:10:42 PM","У меня есть головной моск, спинной моск и ещё вот этот -
http://infomaxx.ru/perevodika/uchenyie-nashli-v-zhivote-u-lyudey-eshhe-odin-moshhnyiy-i-zagadochnyiy-mozg.html
.",169,https://bitcointalk.org/index.php?topic=1298661.msg39237059#msg39237059,Come-from-Beyond
44,39208041,"June 02, 2018, 11:58:46 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: kribur on June 02, 2018, 11:10:43 AM","Но рынку-то нужно именно это, иначе почему IOTA на 9-ой позиции хит-парада, а Byteball - на 121-ой?",99,https://bitcointalk.org/index.php?topic=1298661.msg39208041#msg39208041,Come-from-Beyond
45,39179635,"June 02, 2018, 12:11:56 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: kribur on June 01, 2018, 03:24:40 PM","Я не Тонич, я просто программист, специализирующийся на компьютерных играх.",75,https://bitcointalk.org/index.php?topic=1298661.msg39179635#msg39179635,Come-from-Beyond
46,39005157,"May 30, 2018, 10:31:15 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: kribur on May 30, 2018, 04:44:47 PM",Я. Хочешь про это поговорить?,29,https://bitcointalk.org/index.php?topic=1298661.msg39005157#msg39005157,Come-from-Beyond
47,38897546,"May 29, 2018, 06:19:20 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 29, 2018, 06:16:05 PM",А нелюбители риска могут посидеть в уголке и посмотреть как мы пьем шампанское.,79,https://bitcointalk.org/index.php?topic=1298661.msg38897546#msg38897546,Come-from-Beyond
48,37114898,"May 13, 2018, 09:09:36 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 13, 2018, 06:54:38 AM",На каком слоге ударение?,24,https://bitcointalk.org/index.php?topic=1298661.msg37114898#msg37114898,Come-from-Beyond
