post_number,message_id,timestamp,board,topic_title,topic_id,replied_to,content,content_length,post_url,author
49,37070710,"May 12, 2018, 04:30:16 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: ToTheMoon_XOM9IK on May 12, 2018, 12:08:12 PM","Хорошо что браузер переводит, а то я кроме ""Я не ел шесть дней"" на французском ничего не знаю...",96,https://bitcointalk.org/index.php?topic=1298661.msg37070710#msg37070710,Come-from-Beyond
50,36772550,"May 09, 2018, 12:05:31 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 09, 2018, 11:30:08 AM","Вини бюрократов в правительстве. За которое ты, вероятно, голосовал.",68,https://bitcointalk.org/index.php?topic=1298661.msg36772550#msg36772550,Come-from-Beyond
51,36772392,"May 09, 2018, 12:03:33 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 09, 2018, 11:30:08 AM","В газетах может и не писали, а вот зимой было что-то на специализированных сайтах.",82,https://bitcointalk.org/index.php?topic=1298661.msg36772392#msg36772392,Come-from-Beyond
52,36767017,"May 09, 2018, 10:44:39 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 09, 2018, 09:44:11 AM","Я не отслеживаю даты, извини.",29,https://bitcointalk.org/index.php?topic=1298661.msg36767017#msg36767017,Come-from-Beyond
53,36756181,"May 09, 2018, 08:13:42 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 09, 2018, 07:37:13 AM","Вот промо-ролик того, как всё будет -
https://www.youtube.com/watch?v=0N9HWwoiyyQ
.",83,https://bitcointalk.org/index.php?topic=1298661.msg36756181#msg36756181,Come-from-Beyond
54,36752480,"May 09, 2018, 07:26:32 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 09, 2018, 06:17:04 AM","У финальной Ёты, не текущей.",28,https://bitcointalk.org/index.php?topic=1298661.msg36752480#msg36752480,Come-from-Beyond
55,36713312,"May 08, 2018, 07:49:55 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 08, 2018, 05:53:08 PM","С ними никак не поборешься, Ёта децентрализованная и тот, у кого больше хэш-мощности - решает.",94,https://bitcointalk.org/index.php?topic=1298661.msg36713312#msg36713312,Come-from-Beyond
56,36692723,"May 08, 2018, 03:32:56 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 08, 2018, 03:05:03 PM",M-баг был разъяснен в статьях советских газет. Поэтому блог-пост уже не нужен.,78,https://bitcointalk.org/index.php?topic=1298661.msg36692723#msg36692723,Come-from-Beyond
57,36671641,"May 08, 2018, 11:21:04 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on May 08, 2018, 11:15:57 AM","Про это писали те самые ребята из Zcash и MIT DCI команды. Надеюсь, ты не будешь утверждать, что они про это не писали? Потому как в это никто не поверит, их неприязнь к Ёте всем известна, они бы никогда не упустили шанс. Так что искать ссылки я не буду, простых логических рассуждений достаточно.",297,https://bitcointalk.org/index.php?topic=1298661.msg36671641#msg36671641,Come-from-Beyond
58,36665540,"May 08, 2018, 09:59:41 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,,"Не было нужды в блог-посте, всё была написано в газетах. Ежели кто следует совету профессора Преображенского - это их личная проблема. И вина.",142,https://bitcointalk.org/index.php?topic=1298661.msg36665540#msg36665540,Come-from-Beyond
59,36516716,"May 06, 2018, 07:59:39 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: delfastTions on May 06, 2018, 02:15:27 PM",Перспекта я не вижу.,20,https://bitcointalk.org/index.php?topic=1298661.msg36516716#msg36516716,Come-from-Beyond
60,36415399,"May 05, 2018, 08:22:09 PM",Altcoin Discussion,Re: IOTA manual claims tracker (UNOFFICIAL),2000113,"Quote from: LemonAndFriesOne on May 05, 2018, 04:21:09 PM","So no the proof, was sure in that.",34,https://bitcointalk.org/index.php?topic=2000113.msg36415399#msg36415399,Come-from-Beyond
61,36364907,"May 05, 2018, 09:24:03 AM",Altcoin Discussion,Re: IOTA manual claims tracker (UNOFFICIAL),2000113,"Quote from: LemonAndFriesOne on May 05, 2018, 08:28:09 AM",Prove,5,https://bitcointalk.org/index.php?topic=2000113.msg36364907#msg36364907,Come-from-Beyond
62,36356343,"May 05, 2018, 07:19:50 AM",Altcoin Discussion,Re: IOTA manual claims tracker (UNOFFICIAL),2000113,"Quote from: LemonAndFriesOne on May 05, 2018, 05:59:25 AM",You never owned iotas. NEM zealot buying iotas? Noone will believe in that.,75,https://bitcointalk.org/index.php?topic=2000113.msg36356343#msg36356343,Come-from-Beyond
63,36326744,"May 04, 2018, 07:31:18 PM",Altcoin Discussion,Re: IOTA manual claims tracker (UNOFFICIAL),2000113,"Quote from: LemonAndFriesOne on May 04, 2018, 06:09:30 PM",You forgot to add that you are an IOTA hater who was caught on lies. This time it's not different.,98,https://bitcointalk.org/index.php?topic=2000113.msg36326744#msg36326744,Come-from-Beyond
64,36209566,"May 03, 2018, 02:25:16 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,,"Халтуришь, где перевод на русский?",34,https://bitcointalk.org/index.php?topic=1298661.msg36209566#msg36209566,Come-from-Beyond
65,35855578,"April 29, 2018, 09:08:39 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: delfastTions on April 29, 2018, 05:16:09 AM","Да. Именно так.
PS: А чего это Крипт-лежебока опять отлынивает? Почему не освещает драму, связанную с
https://twitter.com/paddyucl/status/989947731870445568?",157,https://bitcointalk.org/index.php?topic=1298661.msg35855578#msg35855578,Come-from-Beyond
66,35789389,"April 28, 2018, 11:42:34 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: delfastTions on April 28, 2018, 10:04:02 AM",Видел бы ты чем эту последнюю ёту зажимают...,45,https://bitcointalk.org/index.php?topic=1298661.msg35789389#msg35789389,Come-from-Beyond
67,35773658,"April 28, 2018, 07:19:55 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: ToTheMoon_XOM9IK on April 28, 2018, 06:50:33 AM","Ага. И будем надеяться, что он не последует за Немцовым.",56,https://bitcointalk.org/index.php?topic=1298661.msg35773658#msg35773658,Come-from-Beyond
68,35743076,"April 27, 2018, 07:04:18 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: BVeyron on April 27, 2018, 11:25:51 AM","Это настоящая машина. Просто для карликов, типа Тириона из Игры Престолов.",74,https://bitcointalk.org/index.php?topic=1298661.msg35743076#msg35743076,Come-from-Beyond
69,35666605,"April 26, 2018, 07:36:08 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: delfastTions on April 26, 2018, 12:17:54 PM","Одну ёту мы действительно не отдадим, эта музыка будет вечной.",62,https://bitcointalk.org/index.php?topic=1298661.msg35666605#msg35666605,Come-from-Beyond
70,35500931,"April 24, 2018, 07:11:26 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on April 24, 2018, 03:28:23 PM",Зачётная страшилка.,19,https://bitcointalk.org/index.php?topic=1298661.msg35500931#msg35500931,Come-from-Beyond
71,35347389,"April 22, 2018, 08:53:21 PM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: remol on April 22, 2018, 08:20:23 PM",IOTA aims for top 1.,20,https://bitcointalk.org/index.php?topic=1216479.msg35347389#msg35347389,Come-from-Beyond
72,35347265,"April 22, 2018, 08:51:10 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: ToTheMoon_XOM9IK on April 22, 2018, 03:29:48 PM",Так вот на кого срабатывает камера на моей калитке...,53,https://bitcointalk.org/index.php?topic=1298661.msg35347265#msg35347265,Come-from-Beyond
73,35200513,"April 20, 2018, 09:12:51 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Lannakosa on April 20, 2018, 07:15:55 PM",Ты это про Сирию и третью мировую? Тогда заменой будут крышки.,62,https://bitcointalk.org/index.php?topic=1298661.msg35200513#msg35200513,Come-from-Beyond
74,35193736,"April 20, 2018, 07:09:57 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: jessmem on April 20, 2018, 01:44:50 PM","Я то же самое говорю про автомобили. Нахрена эти дымящие железные телеги, если есть экологически чистые лошадки?",112,https://bitcointalk.org/index.php?topic=1298661.msg35193736#msg35193736,Come-from-Beyond
75,35159157,"April 20, 2018, 10:52:26 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on April 20, 2018, 09:30:16 AM","Верно говоришь. А когда зарядятся 10 настоящих авто мы сможем говорить что ""для одного игрушечного и десяти настоящих"". Предлагаю сделать какую-нибудь приблуду, которая будет обновлять новость (11 авто, 12 авто, ...)",216,https://bitcointalk.org/index.php?topic=1298661.msg35159157#msg35159157,Come-from-Beyond
76,34825403,"April 16, 2018, 09:49:31 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: pifagor2 on April 16, 2018, 08:24:48 AM","Да, начинай.",12,https://bitcointalk.org/index.php?topic=1298661.msg34825403#msg34825403,Come-from-Beyond
77,34685804,"April 14, 2018, 01:49:10 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on April 14, 2018, 11:55:39 AM",Ещё требуется что-то типа IOTA Clarifies Misleading Apple Quote: No Official Partnership. Потому как один из кофаундеров любит яблоки.,134,https://bitcointalk.org/index.php?topic=1298661.msg34685804#msg34685804,Come-from-Beyond
78,34664722,"April 14, 2018, 07:50:05 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: katin-skl on April 14, 2018, 07:13:46 AM","Да, знаю этот отель. Страну не помню, а город называется ""Солнечный город"". Вот здесь подробнее описано -
https://ru.wikipedia.org/wiki/Незнайка_в_Солнечном_городе
.",165,https://bitcointalk.org/index.php?topic=1298661.msg34664722#msg34664722,Come-from-Beyond
79,34570933,"April 12, 2018, 10:29:52 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: JasonLeavers on April 12, 2018, 09:12:52 PM",Можно. Если там не осталось больше ловушек от копирования.,58,https://bitcointalk.org/index.php?topic=1298661.msg34570933#msg34570933,Come-from-Beyond
80,34084660,"April 06, 2018, 03:04:39 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: ivanklich on April 06, 2018, 01:49:09 PM","Или наоборот, будут делать то, что не требует вообще ничего. К примеру, писать на этом форуме.",94,https://bitcointalk.org/index.php?topic=1298661.msg34084660#msg34084660,Come-from-Beyond
81,34027686,"April 05, 2018, 08:41:02 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: hunterr84 on April 05, 2018, 07:44:20 AM",https://www.youtube.com/watch?v=dtK6BlUezXI,43,https://bitcointalk.org/index.php?topic=1298661.msg34027686#msg34027686,Come-from-Beyond
82,33950127,"April 04, 2018, 08:29:31 PM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: ratiobitcoin on April 04, 2018, 07:01:42 PM",The link shows exactly $1.00.,29,https://bitcointalk.org/index.php?topic=1216479.msg33950127#msg33950127,Come-from-Beyond
83,33302697,"March 27, 2018, 04:50:34 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: Krypt on March 27, 2018, 02:48:37 PM","А должен был? Читай текст, написанный маленькими буквами в следующий раз, когда отдаешь последние 4 сольдо.",107,https://bitcointalk.org/index.php?topic=1298661.msg33302697#msg33302697,Come-from-Beyond
84,33293670,"March 27, 2018, 02:32:55 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: BVeyron on March 27, 2018, 09:15:54 AM","Это херня, подожди пока РПЦ объявит о сотрудничестве с Ётой.",60,https://bitcointalk.org/index.php?topic=1298661.msg33293670#msg33293670,Come-from-Beyond
85,32928138,"March 22, 2018, 06:34:50 PM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: we11man on March 22, 2018, 06:33:22 PM",Or just appear in the right place in the right time.,52,https://bitcointalk.org/index.php?topic=1216479.msg32928138#msg32928138,Come-from-Beyond
86,32928012,"March 22, 2018, 06:32:58 PM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: we11man on March 22, 2018, 06:16:34 PM","It was true in the past, not true now.
For the math look at page 90 of
http://www.tangleblog.com/wp-content/uploads/2018/02/letters.pdf
(replace 27 rounds with 81).",164,https://bitcointalk.org/index.php?topic=1216479.msg32928012#msg32928012,Come-from-Beyond
87,32860614,"March 21, 2018, 08:53:31 PM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: Stiven40 on March 21, 2018, 08:40:57 PM",World domination.,17,https://bitcointalk.org/index.php?topic=1216479.msg32860614#msg32860614,Come-from-Beyond
88,32850569,"March 21, 2018, 05:56:57 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: petyp123456789 on March 21, 2018, 03:10:45 PM",[IMAGE ONLY],0,https://bitcointalk.org/index.php?topic=1298661.msg32850569#msg32850569,Come-from-Beyond
89,32732799,"March 20, 2018, 07:55:40 AM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: tuanavu on March 19, 2018, 08:47:59 PM",Looks like you need to know SEED 1 to generate SEED 2. Right?,61,https://bitcointalk.org/index.php?topic=1216479.msg32732799#msg32732799,Come-from-Beyond
90,32651506,"March 19, 2018, 08:10:44 AM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: tuanavu on March 19, 2018, 12:52:48 AM",How can someone else generate seed 2?,37,https://bitcointalk.org/index.php?topic=1216479.msg32651506#msg32651506,Come-from-Beyond
91,32625422,"March 18, 2018, 09:11:29 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: ToTheMoon_XOM9IK on March 18, 2018, 08:58:39 PM","Ёту создали Иллюминаты, неудивительно, что её представители во всех ключевых местах.",84,https://bitcointalk.org/index.php?topic=1298661.msg32625422#msg32625422,Come-from-Beyond
92,32596012,"March 18, 2018, 02:12:06 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: bagazaga on March 18, 2018, 02:10:13 PM","Да, конечно. Успехов тебе и lightning.network.",46,https://bitcointalk.org/index.php?topic=1298661.msg32596012#msg32596012,Come-from-Beyond
93,32581616,"March 18, 2018, 10:57:58 AM",Development & Technical Discussion,Re: DagCoin: a cryptocurrency without blocks,1177633,"Quote from: SKLTD on March 18, 2018, 10:46:12 AM","It does, resemblance with Bitcoin is uncanny.",45,https://bitcointalk.org/index.php?topic=1177633.msg32581616#msg32581616,Come-from-Beyond
94,32579674,"March 18, 2018, 10:27:17 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: bagazaga on March 18, 2018, 09:34:42 AM","Нет нужды, все и так всё поняли.",32,https://bitcointalk.org/index.php?topic=1298661.msg32579674#msg32579674,Come-from-Beyond
95,32551320,"March 17, 2018, 10:45:43 PM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: GeorgeBo on March 17, 2018, 10:04:27 PM",[IMAGE ONLY],0,https://bitcointalk.org/index.php?topic=1216479.msg32551320#msg32551320,Come-from-Beyond
96,32452879,"March 16, 2018, 02:55:21 PM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: shurman38 on March 16, 2018, 01:08:52 PM",<Стандартная шутка про ошибку в ДНК>,36,https://bitcointalk.org/index.php?topic=1298661.msg32452879#msg32452879,Come-from-Beyond
97,32429888,"March 16, 2018, 08:57:21 AM",Альтернативные криптовалюты,"Re: [IOTA] Крипто-токен для ""интернета вещей"" (Internet-of-Things)",1298661,"Quote from: bagazaga on March 16, 2018, 07:53:21 AM","Куча людей получили ёты, а ты не получил. Самое время задуматься - почему.",74,https://bitcointalk.org/index.php?topic=1298661.msg32429888#msg32429888,Come-from-Beyond
98,32405780,"March 15, 2018, 10:47:33 PM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: atlas21 on March 15, 2018, 09:21:07 PM",Yes. But about coins which attempt to compete with IOTA - either good or nothing (at least while they don't try to spread FUD about IOTA).,138,https://bitcointalk.org/index.php?topic=1216479.msg32405780#msg32405780,Come-from-Beyond
99,32400206,"March 15, 2018, 08:47:41 PM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: mr.quackquack on March 15, 2018, 06:03:45 PM","You are welcome, I'm glad you got real feeling of what ""high risk = high reward"" means.",87,https://bitcointalk.org/index.php?topic=1216479.msg32400206#msg32400206,Come-from-Beyond
100,32350258,"March 15, 2018, 08:01:32 AM",Announcements (Altcoins),Re: IOTA,1216479,"Quote from: atlas21 on March 14, 2018, 09:47:32 PM","Economic Clustering paper is not ready yet, so I can't share my reaction while backing my words. I'm afraid you have to wait for a while.",137,https://bitcointalk.org/index.php?topic=1216479.msg32350258#msg32350258,Come-from-Beyond
